refID,Size,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,LFC_norm,LFC_apeglm,UNT_rpkm
NM_008899,6271,48.9537411062681,9.02338517692831,1.24326839872081,7.25779339860355,3.93455889316462e-13,7.39705217999614e-12,3.54970102649141,9.92978493518366,0
NM_013702,4280,34.1684022930411,8.4855860299844,1.59882736695129,5.30738102523542,1.11211547912413e-07,1.15809227158104e-06,1.11636759415281,9.08185477011285,0
NR_027826,46625,18.1052513216222,7.58665414944489,1.33917369442243,5.66517560869275,1.46874037989731e-08,1.70657671396769e-07,2.09139829223777,8.11317850878059,0
NM_001001334,50583,15.5701731017831,7.3480361384535,1.3633938183531,5.38951844987055,7.06467272980386e-08,7.53385328514198e-07,1.88610160452844,7.92011282871622,0
NM_008274,2692,14.939158996659,7.16707525286329,1.37275076711855,5.22095884011577,1.77999103196679e-07,1.80897689600162e-06,1.82419053611361,7.74884251203896,0
NM_010402,3534,12.717662449439,7.07805873190501,1.40000570791201,5.05573562443638,4.28734922237518e-07,4.15710353590794e-06,1.63755499197014,7.45966212780829,0
NM_001146198,3171,12.4623670174201,7.0307257400594,1.40461796394885,5.00543629692282,5.57356434819954e-07,5.31732263658561e-06,1.61143396966301,7.4497435614975,0
NM_001286340,29931,11.4591087531682,6.80261445528751,1.42513332446088,4.77331793350697,1.81215372800436e-06,1.59682308851466e-05,1.50182339339158,7.32140591376201,0
NM_001168512,5418,11.9076099801937,6.92263850955615,1.41503227623878,4.89221244334924,9.97087330754323e-07,9.14088996154935e-06,1.55810831113279,7.24898542194997,0
NM_146187,2620,11.6379024243547,6.89265141755704,1.41973538413759,4.85488457537033,1.20456885346961e-06,1.08945094361861e-05,1.53184646196626,7.21160228961874,0
NM_011041,15591,59.3210366201113,7.80409742329139,1.53552242857538,5.08237279902961,3.72748922872395e-07,3.64147024652263e-06,1.08802204096166,7.06680037304584,0.0614770019096713
NR_015387,11038,51.995215702577,7.29707442908036,1.07740365646203,6.7728324340781,1.26285190448369e-11,2.01889554906059e-10,3.46973624873928,6.98927227538558,0.0499189098338151
NM_001025305,26791,9.50738553827416,6.58442333437827,1.46800805767054,4.48527737976218,7.28191410038712e-06,5.83613600958211e-05,1.30458309796913,6.90673981629845,0
NM_009573,5454,126.073286461052,6.97060235320199,0.648196972364184,10.7538335573799,5.68486867055267e-27,2.56185855895551e-25,4.55758581208424,6.85431675622298,0.386396436035538
NM_080433,3973,8.46151023486804,6.44321028197052,1.49871949759571,4.29914356376021,1.71459385003464e-05,0.000128566221760855,1.19146557796519,6.57424881252932,0
NM_011127,68531,43.4295451064481,7.47242433527348,1.67505330771195,4.46100688310661,8.15754698769921e-06,6.48071788467215e-05,0.788353815165839,6.46556263015948,0.0139861951054805
NM_010454,2259,8.06369006215551,6.38043670038931,1.51248966522917,4.218499370323,2.45933657990679e-05,0.000179014074660069,1.14635231541495,6.44680794565765,0
NM_011381,5357,75.7561103122788,6.50358993436396,0.723014683001289,8.99510077356529,2.36015592865843e-19,7.02668718366653e-18,3.90748258438754,6.34745686575172,0.303931714345899
